NAME,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Latitude,Longitude
Rayalseema,1901,7,50.2,0,12.1,8.9,53,73.4,60.3,109,81.6,137.2,91.3,714,57.2,21,295.7,310.1,14.57183072,78.02670181
Rayalseema,1902,10,0.2,1.7,11,16.8,73.6,41.3,148.3,181.7,188.5,88.9,36.4,818.4,10.2,29.5,444.9,313.8,14.57183072,78.02670181
Rayalseema,1903,30,0.1,0,3.6,8.5,67.5,127.5,140.6,219.7,95.3,289.4,84,1138.2,30.1,14.1,555.3,468.7,14.57183072,78.02670181
Rayalseema,1904,14.8,0,1.7,7.1,16.8,39.8,75.1,19.4,84.7,111.5,4.4,16.1,433.4,14.8,17.6,219,132,14.57183072,78.02670181
Rayalseema,1905,6.5,6.8,17,18.3,4.2,66.1,50.9,219.3,36.5,180.2,55.4,2,703.2,13.3,29.5,372.8,237.6,14.57183072,78.02670181
Rayalseema,1906,115.3,7.2,6.8,2.1,9.6,84.1,127.9,154.4,130.4,107.7,35,132.2,912.7,62.5,18.5,496.8,274.9,14.57183072,78.02670181
Rayalseema,1907,1.1,0,6.5,2.5,8.6,50.5,100.5,34.3,97.7,60,140.7,58,640.4,1.1,15.8,283,258.7,14.57183072,78.02670181
Rayalseema,1908,5.7,4.3,4.7,5.5,12.2,36.2,65,45.5,222.6,151.8,27.9,6.8,617.2,10,11.4,369.3,186.5,14.57183072,78.02670181
Rayalseema,1909,89.2,0,0,2.2,18.4,34.8,61.5,290.1,205,29.4,12.8,0.3,870.7,39.2,57.6,591.4,42.5,14.57183072,78.02670181
Rayalseema,1910,0.6,2.1,0.7,13.1,12.3,46.5,197.9,188.2,165.3,205.1,148.4,0,1001.2,2.7,27.1,597.9,353.5,14.57183072,78.02670181
Rayalseema,1911,0,0,0.8,0.9,6.7,54,73.6,47.5,107.6,102.1,83.2,35.9,590.6,37.8,16.7,282.7,221.2,14.57183072,78.02670181
Rayalseema,1912,1.1,4.1,0.6,5.6,14.3,35.4,67.3,93.3,132,157.8,223.8,0.2,745.5,5.2,10.5,328,381.8,14.57183072,78.02670181
Rayalseema,1913,0,0.4,0.9,10.8,15.8,37,93.3,36.9,122.1,184.2,12.3,65.6,616.3,0.4,24.5,289.3,262.1,14.57183072,78.02670181
Rayalseema,1914,2.4,1.3,1.2,3.5,13.2,65.3,72.5,130,171.9,83.4,61.3,12.4,678.4,3.7,37.9,439.7,157.1,14.57183072,78.02670181
Rayalseema,1915,44.9,4.8,80.2,11.9,7.4,55.3,155.3,59.7,167.9,64.6,225.1,5.9,923,49.7,19.5,438.2,295.6,14.57183072,78.02670181
Rayalseema,1916,0,1.3,0,7.9,2.9,48.1,210.1,160.2,182.9,252.5,140.9,10.4,1047.2,1.3,20.8,601.3,403.8,14.57183072,78.02670181
Rayalseema,1917,4.5,35.6,7.2,5.4,3.9,86.5,63,171.5,185.6,183.8,105.1,21.9,933.1,40.1,15.6,506.6,310.8,14.57183072,78.02670181
Rayalseema,1918,60.6,2.7,10.5,10.4,9.2,37.6,30.8,74.1,111.4,4.4,211.6,22.8,646.1,63.3,10.1,253.9,238.8,14.57183072,78.02670181
Rayalseema,1919,24.8,0,22.4,14.6,1.5,72.3,151.8,33,237.8,79,180.6,22.7,890.5,24.8,18.5,494.9,282.3,14.57183072,78.02670181
